963		opposite
964		wife
965		shoe
966		shoulder
967		spread
968		arrange
969		camp
970		invent
971		cotton
972		born
973		determine
974		quart
975		nine
976		truck
977		noise
978		level
979		chance
980		gather
981		shop
982		stretch
983		throw
984		shine
985		property
986		column
987		molecule
988		select
989		wrong
990		gray
991		repeat
992		require
993		broad
994		prepare
995		salt
996		nose
997		plural
998		anger
999		claim
1000		continent
